Respondent_ID,Citizenship,Gender,Study_Country,Institution_Public,Student_Status,Study_Level,Field_of_Study,Learning_Method,Job_Confidence
55,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
56,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Slightly confident
58,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Not at all confident
59,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Very confident
60,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Very confident
61,Albania,Male,Albania,Yes,Part-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Slightly confident
62,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Very confident
63,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Slightly confident
66,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Slightly confident
70,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Not at all confident
84,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Moderately confident
85,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Slightly confident
86,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Extremely confident
88,Albania,Female,Albania,N/A,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Slightly confident
90,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
91,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Slightly confident
92,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
93,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Not at all confident
94,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
95,Albania,Male,Albania,Yes,Full-time,Postgraduate (Master's),Social Sciences,Traditional (Classroom),Moderately confident
96,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Moderately confident
97,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
99,Albania,Female,Albania,Yes,Full-time,Postgraduate (Master's),Social Sciences,Online,Not at all confident
100,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Moderately confident
101,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Very confident
103,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
104,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
105,Albania,Male,Albania,Yes,Part-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Slightly confident
106,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Moderately confident
107,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,N/A,Slightly confident
108,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
111,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Not at all confident
116,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Not at all confident
117,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Slightly confident
120,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Slightly confident
125,Albania,Female,Albania,Yes,Full-time,Postgraduate (Master's),Social Sciences,Traditional (Classroom),Extremely confident
128,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Not at all confident
129,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Very confident
130,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Not at all confident
136,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Slightly confident
139,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
142,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Moderately confident
143,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Moderately confident
144,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
148,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Moderately confident
151,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Slightly confident
152,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Traditional (Classroom),Moderately confident
153,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Traditional (Classroom),Moderately confident
159,Albania,Female,Albania,Yes,Full-time,Postgraduate (Master's),Social Sciences,Traditional (Classroom),Very confident
163,Albania,Female,Albania,Yes,Full-time,Postgraduate (Master's),Social Sciences,Traditional (Classroom),Moderately confident
167,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Moderately confident
168,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Very confident
169,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Moderately confident
170,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Slightly confident
177,Albania,Female,Albania,Yes,Full-time,Postgraduate (Master's),Natural and Life Sciences,Traditional (Classroom),Slightly confident
181,Albania,Female,Albania,Yes,Full-time,Postgraduate (Master's),Social Sciences,Traditional (Classroom),Very confident
182,Albania,Female,Albania,Yes,Full-time,Postgraduate (Master's),Social Sciences,Traditional (Classroom),Slightly confident
184,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
187,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Not at all confident
188,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
190,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
191,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Slightly confident
192,Albania,Male,Albania,N/A,N/A,N/A,N/A,N/A,N/A
193,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Slightly confident
195,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Moderately confident
196,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Moderately confident
199,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
200,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Traditional (Classroom),Moderately confident
201,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
202,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Slightly confident
203,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Very confident
205,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
206,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Extremely confident
214,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Slightly confident
217,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
219,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
221,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Slightly confident
226,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
230,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Extremely confident
234,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
235,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Traditional (Classroom),Very confident
236,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Extremely confident
238,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
240,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Traditional (Classroom),Slightly confident
241,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
242,Albania,Male,Albania,N/A,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
243,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Traditional (Classroom),Extremely confident
247,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Traditional (Classroom),Extremely confident
264,Albania,Female,Albania,Yes,Full-time,Postgraduate (Master's),Social Sciences,Traditional (Classroom),Very confident
265,Albania,Female,Albania,Yes,Full-time,Postgraduate (Master's),Social Sciences,Traditional (Classroom),Moderately confident
266,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Not at all confident
269,Albania,Female,Albania,Yes,Full-time,Postgraduate (Master's),Social Sciences,Traditional (Classroom),Moderately confident
270,Albania,Male,Albania,Yes,Full-time,Postgraduate (Master's),Social Sciences,Traditional (Classroom),Moderately confident
271,Albania,Female,Albania,Yes,Full-time,Postgraduate (Master's),Social Sciences,Traditional (Classroom),Very confident
273,Albania,Male,Albania,Yes,Full-time,Postgraduate (Master's),Social Sciences,Traditional (Classroom),Very confident
274,Albania,Female,Albania,Yes,Part-time,Undergraduate (Bachelor's),N/A,Traditional (Classroom),Not at all confident
275,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Not at all confident
276,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Not at all confident
277,Albania,Female,Albania,Yes,Part-time,Undergraduate (Bachelor's),Social Sciences,Online,Moderately confident
278,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Not at all confident
279,Albania,Female,Albania,No,Full-time,Postgraduate (Master's),Social Sciences,Traditional (Classroom),Not at all confident
280,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Not at all confident
281,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Very confident
283,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Not at all confident
285,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Not at all confident
286,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
287,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Not at all confident
289,Albania,Female,Albania,Yes,Full-time,Postgraduate (Master's),Social Sciences,Traditional (Classroom),Not at all confident
295,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
304,Albania,Female,Albania,Yes,Full-time,Postgraduate (Master's),Social Sciences,Traditional (Classroom),Moderately confident
308,Albania,Female,Albania,Yes,Full-time,Postgraduate (Master's),Social Sciences,Traditional (Classroom),Moderately confident
309,Albania,Female,Albania,Yes,Full-time,Postgraduate (Master's),Social Sciences,Traditional (Classroom),Moderately confident
310,Albania,Female,Albania,Yes,Full-time,Postgraduate (Master's),Arts and Humanities,Traditional (Classroom),Moderately confident
315,Albania,Female,Albania,Yes,Full-time,Postgraduate (Master's),Social Sciences,Traditional (Classroom),Very confident
323,Albania,Female,Albania,Yes,Full-time,Postgraduate (Master's),Social Sciences,Blended (Hybrid),Slightly confident
326,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Very confident
328,Albania,Prefer not to say,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Extremely confident
329,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
330,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
332,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Very confident
333,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Very confident
336,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Slightly confident
337,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Moderately confident
341,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Not at all confident
342,Albania,Female,Albania,Yes,Full-time,Postgraduate (Master's),Social Sciences,Online,Very confident
343,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Not at all confident
345,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
346,Albania,Female,Albania,N/A,N/A,N/A,N/A,N/A,N/A
348,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
349,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Not at all confident
350,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Not at all confident
351,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
352,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Slightly confident
353,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
355,Albania,Female,Albania,N/A,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Slightly confident
356,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Extremely confident
359,Albania,Female,Albania,N/A,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Slightly confident
360,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Extremely confident
361,Albania,Female,Albania,Yes,Part-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
365,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
367,Albania,Female,Albania,Yes,Part-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Not at all confident
368,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Very confident
372,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Slightly confident
374,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Slightly confident
375,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Very confident
377,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Slightly confident
379,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Not at all confident
383,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
385,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Not at all confident
387,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
389,Albania,Female,Albania,No,Part-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Not at all confident
390,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Very confident
391,Albania,Female,Albania,No,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Moderately confident
393,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Not at all confident
394,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Not at all confident
395,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Slightly confident
396,Albania,Female,Albania,No,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
397,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Moderately confident
400,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
403,Albania,Male,Algeria,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Not at all confident
404,Albania,Female,Austria,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Moderately confident
405,Albania,Female,Bulgaria,Yes,Part-time,Doctoral degree,Natural and Life Sciences,Blended (Hybrid),Moderately confident
406,Albania,Female,Greece,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Moderately confident
410,Albania,Female,Italy,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Blended (Hybrid),Moderately confident
411,Albania,Female,Luxembourg,Yes,Full-time,Postgraduate (Master's),Applied Sciences,Blended (Hybrid),Slightly confident
412,Albania,Female,Luxembourg,Yes,Full-time,Postgraduate (Master's),Applied Sciences,Traditional (Classroom),Slightly confident
413,Albania,Female,Luxembourg,Yes,Full-time,Postgraduate (Master's),Applied Sciences,Traditional (Classroom),Moderately confident
415,Albania,Female,Macedonia,No,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Very confident
416,Albania,Male,Macedonia,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Extremely confident
417,Albania,Male,Macedonia,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
418,Albania,Male,Macedonia,No,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
420,Albania,Female,Macedonia,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Extremely confident
428,Albania,Male,Macedonia,No,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Extremely confident
429,Albania,Female,Macedonia,No,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
430,Albania,Female,Macedonia,No,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Extremely confident
431,Albania,Female,Macedonia,No,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Blended (Hybrid),Very confident
433,Albania,Male,Macedonia,No,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Not at all confident
437,Albania,Male,Macedonia,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Not at all confident
440,Albania,Female,Spain,No,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Extremely confident
441,Albania,Male,Spain,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Moderately confident
442,Albania,Male,Spain,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Blended (Hybrid),Very confident
444,Albania,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A
450,Albania,Female,N/A,N/A,N/A,N/A,N/A,N/A,N/A
456,Algeria,Prefer not to say,Albania,No,Part-time,Doctoral degree,Arts and Humanities,Blended (Hybrid),Not at all confident
458,Algeria,Male,Algeria,Yes,N/A,N/A,N/A,Blended (Hybrid),N/A
459,Algeria,Male,Algeria,Yes,Full-time,Doctoral degree,Applied Sciences,Blended (Hybrid),Slightly confident
461,Algeria,Male,Algeria,Yes,Full-time,Doctoral degree,Applied Sciences,Traditional (Classroom),Moderately confident
462,Algeria,Male,Algeria,Yes,Full-time,Doctoral degree,Applied Sciences,Online,Slightly confident
463,Algeria,Male,Algeria,Yes,Full-time,Doctoral degree,Applied Sciences,Online,Slightly confident
464,Algeria,Male,Algeria,Yes,Full-time,Doctoral degree,Applied Sciences,Online,Not at all confident
466,Algeria,Female,Algeria,Yes,Part-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
467,Algeria,Female,Algeria,Yes,Part-time,Undergraduate (Bachelor's),Applied Sciences,Online,Moderately confident
468,Algeria,Female,Algeria,Yes,Part-time,N/A,Applied Sciences,Traditional (Classroom),Moderately confident
469,Algeria,Female,Algeria,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Moderately confident
470,Algeria,Female,Algeria,Yes,Full-time,Doctoral degree,Applied Sciences,Blended (Hybrid),Moderately confident
471,Algeria,Female,Algeria,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Slightly confident
474,Algeria,Female,Algeria,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Moderately confident
475,Algeria,Female,Algeria,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
476,Algeria,Female,Algeria,Yes,Part-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Very confident
477,Algeria,Female,Algeria,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Moderately confident
478,Algeria,Male,Algeria,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Moderately confident
479,Algeria,Female,Algeria,Yes,Full-time,Postgraduate (Master's),Applied Sciences,Blended (Hybrid),Very confident
480,Algeria,Male,Algeria,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Moderately confident
481,Algeria,Female,Algeria,No,Part-time,N/A,Applied Sciences,Blended (Hybrid),Very confident
482,Algeria,Male,Algeria,Yes,Part-time,Doctoral degree,Applied Sciences,Blended (Hybrid),Slightly confident
483,Algeria,Female,Algeria,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Online,Moderately confident
484,Algeria,Male,Algeria,Yes,Part-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Moderately confident
485,Algeria,Female,Algeria,Yes,Full-time,Undergraduate (Bachelor's),Natural and Life Sciences,Online,Slightly confident
