Respondent_ID,Institutional_AI_Policy,AI_Regulation_Need,Academic_Ethical_Risk,Information_Reliability_Risk,Social_Impact_Risk,Privacy_Concern,Student_Ethical_Engagement
159,No,3.5,3.75,3.5,4.333333333333333,2.0,4.0
163,No,3.25,3.5,4.0,4.0,3.0,3.5
167,No,3.5,3.25,2.5,1.3333333333333333,1.0,2.25
168,Yes,3.0,3.0,3.0,3.0,3.0,3.0
169,No,3.5,3.0,2.0,1.3333333333333333,1.0,2.25
170,No,4.25,3.25,1.5,2.6666666666666665,3.0,2.75
177,N/A,,,,,,
181,I don't know,3.25,3.5,4.0,3.6666666666666665,4.0,3.0
182,I don't know,3.5,3.5,3.5,3.0,3.0,3.0
184,I don't know,4.5,1.75,1.0,1.3333333333333333,1.0,1.75
187,I don't know,3.0,2.75,3.0,3.0,3.0,2.75
188,Yes,3.75,3.5,3.5,4.0,4.0,4.0
190,No,2.5,4.0,2.0,3.0,2.0,3.5
191,I don't know,3.0,3.25,3.0,2.6666666666666665,3.0,2.5
192,N/A,,,,,,
193,I don't know,2.25,2.25,3.0,2.3333333333333335,3.0,2.75
195,I don't know,3.75,3.25,3.0,3.0,3.0,2.75
196,I don't know,3.0,3.25,3.5,3.3333333333333335,4.0,3.25
199,No,4.0,3.5,3.0,2.6666666666666665,2.0,3.5
200,No,3.0,1.5,1.0,2.3333333333333335,1.0,2.5
201,No,3.0,3.0,4.0,4.0,4.0,3.75
202,No,3.75,3.25,1.5,3.6666666666666665,5.0,2.5
203,N/A,,,,,,
205,I don't know,3.25,3.0,3.0,3.0,3.0,2.75
206,No,3.25,3.25,3.0,3.6666666666666665,3.0,3.25
214,No,1.0,1.3333333333333333,3.0,2.6666666666666665,2.0,1.0
217,No,3.75,3.25,3.5,2.6666666666666665,4.0,3.25
219,No,3.25,4.25,5.0,4.333333333333333,4.0,4.333333333333333
221,No,2.5,2.75,3.0,3.6666666666666665,3.0,3.0
226,I don't know,2.0,1.0,1.0,1.0,1.0,1.0
230,I don't know,4.25,2.5,2.0,2.3333333333333335,2.0,3.25
234,No,3.25,2.25,2.5,3.0,3.0,3.0
235,No,2.75,3.0,3.5,3.0,4.0,3.0
236,Yes,2.75,3.0,2.0,2.6666666666666665,1.0,2.75
238,I don't know,3.75,3.5,3.5,4.0,3.0,3.5
240,No,3.0,3.75,4.5,2.6666666666666665,3.0,3.75
241,No,3.25,3.75,4.5,4.0,4.0,3.5
242,No,3.5,2.75,3.0,3.0,2.0,3.0
243,N/A,,,,,,
247,No,3.5,1.0,1.0,1.6666666666666667,2.0,3.25
264,No,3.75,2.75,3.0,4.0,3.0,3.25
265,I don't know,4.0,3.75,3.0,3.3333333333333335,3.0,3.5
266,N/A,,,,,,
269,Yes,4.25,2.75,3.5,1.6666666666666667,1.0,3.0
270,I don't know,3.0,2.75,2.0,2.0,3.0,3.25
271,Yes,4.0,4.0,4.0,4.0,4.0,4.0
273,No,3.0,3.0,3.0,2.6666666666666665,3.0,
274,N/A,,,,,,
275,Yes,1.0,1.5,2.0,4.333333333333333,2.0,2.25
276,No,3.5,3.5,3.5,3.6666666666666665,3.0,3.25
277,No,3.5,3.0,3.5,3.0,5.0,2.0
278,Yes,4.0,4.0,4.0,4.0,4.0,4.5
279,I don't know,2.5,1.75,3.0,2.0,1.0,1.75
280,N/A,,,,,,
281,Yes,2.5,3.75,3.0,2.6666666666666665,4.0,3.25
283,No,2.0,2.75,2.0,5.0,5.0,2.0
285,N/A,,,,,,
286,N/A,,,,,,
287,N/A,,,,,,
289,No,3.0,3.0,3.0,3.0,3.0,3.0
295,I don't know,3.0,3.5,3.5,3.3333333333333335,4.0,3.5
304,I don't know,2.5,3.0,3.0,3.0,3.0,3.25
308,I don't know,2.25,2.75,3.0,3.6666666666666665,3.0,3.25
309,I don't know,2.25,3.25,3.0,3.3333333333333335,3.0,3.25
310,I don't know,3.25,3.0,3.0,3.0,3.0,3.75
315,N/A,,,,,,
323,I don't know,4.5,4.75,4.5,4.0,3.0,3.0
326,N/A,,,,,,
328,N/A,,,,,,
329,N/A,,,,,,
330,I don't know,3.0,4.5,4.0,5.0,2.0,4.0
332,I don't know,3.0,4.25,4.0,4.0,4.0,4.25
333,I don't know,2.75,3.75,3.0,3.6666666666666665,3.0,3.75
336,I don't know,2.5,,,,,
337,I don't know,3.0,3.5,3.5,3.6666666666666665,3.0,4.0
341,N/A,,,,,,
342,No,3.25,3.75,4.5,4.333333333333333,4.0,4.5
343,N/A,,,,,,
345,Yes,3.25,3.25,3.5,2.6666666666666665,2.0,2.75
346,N/A,,,,,,
348,Yes,3.5,4.0,3.0,4.333333333333333,3.0,3.0
349,No,3.0,3.75,4.0,3.6666666666666665,3.0,3.0
350,I don't know,3.25,5.0,5.0,5.0,5.0,5.0
351,I don't know,3.0,3.0,3.0,3.0,3.0,3.0
352,I don't know,2.75,3.75,4.0,4.333333333333333,4.0,3.5
353,I don't know,3.0,4.0,4.0,3.6666666666666665,3.0,3.5
355,I don't know,3.0,1.5,2.5,1.0,2.0,4.0
356,Yes,3.75,2.0,2.0,3.0,2.0,3.0
359,I don't know,3.0,3.0,3.0,3.0,3.0,3.0
360,I don't know,2.0,2.0,2.0,2.0,1.0,3.25
361,Yes,3.0,2.75,2.0,3.3333333333333335,2.0,2.75
365,I don't know,3.0,2.75,3.0,3.0,3.0,3.0
367,N/A,,,,,,
368,Yes,5.0,1.0,1.0,1.0,1.0,3.25
372,Yes,3.5,3.0,3.0,3.3333333333333335,2.0,2.75
374,I don't know,3.75,3.0,4.0,3.6666666666666665,4.0,3.75
375,Yes,3.25,3.0,3.0,2.3333333333333335,3.0,2.25
377,I don't know,4.0,4.0,3.5,3.3333333333333335,3.0,3.5
379,I don't know,3.0,4.5,3.0,5.0,3.0,3.0
383,I don't know,3.25,4.5,4.5,5.0,5.0,4.0
385,No,2.75,2.75,2.5,2.0,2.0,3.5
387,I don't know,3.75,3.5,3.0,3.0,3.0,3.25
389,I don't know,2.75,1.25,1.0,2.0,1.0,4.5
390,I don't know,3.25,2.5,2.0,1.3333333333333333,3.0,3.0
391,Yes,2.75,4.5,4.0,2.3333333333333335,5.0,3.5
393,Yes,2.75,3.5,2.5,5.0,3.0,3.0
394,I don't know,2.25,2.75,5.0,2.6666666666666665,5.0,2.75
395,I don't know,2.75,3.5,3.5,3.0,4.0,3.5
396,Yes,3.0,3.75,3.0,4.0,4.0,2.75
397,No,4.25,3.25,4.0,2.3333333333333335,2.0,2.5
400,No,3.0,4.5,4.0,3.3333333333333335,3.0,3.25
403,Yes,1.25,1.0,1.0,1.0,1.0,1.75
404,I don't know,4.0,3.75,3.5,3.3333333333333335,1.0,3.0
405,No,2.5,2.75,3.0,2.3333333333333335,3.0,3.5
406,Yes,3.5,2.0,2.5,2.0,3.0,3.25
410,Yes,3.0,3.75,3.0,3.3333333333333335,3.0,3.25
411,Yes,3.25,3.75,4.0,4.333333333333333,5.0,4.0
412,I don't know,4.0,3.75,3.5,2.3333333333333335,4.0,3.75
413,Yes,4.0,4.0,4.0,4.333333333333333,4.0,3.5
415,I don't know,2.25,1.0,1.0,1.0,1.0,3.0
416,N/A,,,,,,
417,Yes,4.25,3.25,4.0,3.3333333333333335,3.0,4.0
418,No,3.25,2.5,2.0,2.6666666666666665,2.0,3.0
420,I don't know,2.75,2.75,2.5,2.6666666666666665,2.0,2.75
428,I don't know,2.0,2.0,1.0,3.3333333333333335,5.0,2.25
429,Yes,2.0,4.5,5.0,4.666666666666667,5.0,3.25
430,Yes,3.75,2.25,2.0,3.0,2.0,3.0
431,I don't know,3.5,4.0,3.0,3.3333333333333335,3.0,3.5
433,I don't know,3.25,4.0,3.0,3.6666666666666665,1.0,2.25
437,No,2.5,3.0,3.0,3.0,3.0,1.0
440,Yes,2.25,2.25,3.5,3.0,2.0,2.5
441,Yes,3.5,3.75,3.5,3.3333333333333335,3.0,2.5
442,Yes,3.5,3.75,3.5,3.3333333333333335,3.0,2.5
444,I don't know,4.0,2.5,1.0,2.6666666666666665,1.0,2.75
450,N/A,,,,,,
456,Yes,1.0,1.0,1.0,1.0,1.0,1.0
458,No,3.5,3.0,2.0,3.0,1.0,3.75
459,No,3.25,2.0,1.0,1.6666666666666667,1.0,4.0
461,No,4.5,4.25,4.0,4.0,5.0,4.5
462,No,4.0,3.25,2.5,2.6666666666666665,3.0,2.0
463,No,4.25,4.0,3.0,4.0,4.0,3.75
464,No,4.0,2.75,3.5,4.666666666666667,5.0,4.25
466,No,4.0,4.0,3.5,3.3333333333333335,5.0,4.0
467,I don't know,3.5,3.25,2.0,2.3333333333333335,1.0,3.0
468,No,3.75,1.75,1.0,2.3333333333333335,2.0,3.5
469,No,3.5,4.0,3.5,2.6666666666666665,2.0,3.0
470,No,3.25,3.5,3.0,4.0,4.0,3.75
471,I don't know,3.75,3.75,3.0,2.6666666666666665,2.0,4.0
474,I don't know,3.5,2.75,2.0,4.0,2.0,4.75
475,No,3.0,3.5,3.0,4.0,3.0,3.5
476,I don't know,3.0,2.5,2.0,2.6666666666666665,2.0,2.75
477,I don't know,3.0,3.75,4.0,1.6666666666666667,3.0,3.25
478,I don't know,3.0,4.0,2.5,2.3333333333333335,2.0,3.75
479,I don't know,3.0,3.0,3.0,3.0,3.0,3.0
480,I don't know,3.5,1.25,2.5,2.0,1.0,4.5
481,I don't know,4.0,2.75,3.0,3.3333333333333335,3.0,3.0
482,No,2.75,1.5,2.0,1.3333333333333333,2.0,2.0
483,I don't know,4.75,1.75,2.5,2.6666666666666665,3.0,2.75
484,I don't know,3.5,4.25,4.0,4.0,1.0,2.75
485,I don't know,3.75,3.75,3.5,4.0,4.0,3.25
486,No,4.25,4.0,2.5,2.6666666666666665,2.0,3.25
488,No,3.0,4.0,3.5,3.0,3.0,2.75
489,N/A,,,,,,
490,Yes,3.75,1.5,1.0,1.6666666666666667,1.0,4.0
491,I don't know,4.0,4.0,3.5,2.3333333333333335,2.0,3.25
492,I don't know,3.75,3.5,2.0,2.0,2.0,3.5
495,I don't know,3.0,3.0,3.0,3.0,3.0,3.25
496,No,3.5,3.0,2.0,2.6666666666666665,3.0,3.0
497,I don't know,3.5,3.0,3.0,4.0,4.0,3.0
499,I don't know,3.0,3.0,3.0,3.0,3.0,3.0
500,No,1.25,2.25,3.0,1.6666666666666667,2.0,2.25
501,No,1.5,1.75,2.5,2.6666666666666665,2.0,2.5
502,I don't know,3.25,3.75,2.0,4.0,4.0,3.5
503,No,4.0,3.0,3.0,2.0,2.0,3.5
506,No,3.25,2.0,2.0,3.0,1.0,3.25
509,I don't know,3.25,3.0,3.5,3.6666666666666665,3.0,3.75
510,I don't know,4.0,3.75,2.5,4.0,2.0,3.75
511,No,2.5,2.5,2.5,2.0,2.0,3.5
512,No,4.0,4.0,4.0,4.0,4.0,4.0
513,No,4.0,3.5,2.5,4.0,3.0,3.5
514,I don't know,2.25,2.75,4.0,4.333333333333333,3.0,4.25
515,No,3.25,2.25,2.0,2.0,2.0,3.0
516,No,3.5,4.75,4.0,5.0,3.0,3.5
518,No,3.0,2.25,2.0,2.0,2.0,3.25
519,I don't know,3.0,3.0,3.0,3.0,3.0,3.0
520,I don't know,3.0,2.5,4.0,3.0,2.0,3.25
521,No,3.5,1.25,2.0,2.0,1.0,4.25
522,No,4.0,1.25,1.0,1.6666666666666667,1.0,3.75
523,No,4.5,4.75,3.5,4.0,3.0,4.75
525,I don't know,3.75,2.5,3.5,3.3333333333333335,3.0,3.5
526,No,4.0,4.0,3.0,4.666666666666667,2.0,3.25
527,I don't know,2.75,3.5,4.0,3.3333333333333335,2.0,3.5
532,I don't know,3.25,2.0,2.0,1.6666666666666667,3.0,3.25
533,I don't know,2.5,2.0,2.5,2.3333333333333335,4.0,2.5
535,No,4.0,5.0,4.5,5.0,4.0,3.75
536,No,5.0,5.0,4.5,5.0,5.0,4.75
538,I don't know,3.25,3.25,2.0,4.0,3.0,3.5
539,No,3.25,3.25,3.5,2.6666666666666665,3.0,3.0
540,N/A,,,,,,
541,N/A,,,,,,
543,No,4.0,1.0,1.0,1.0,1.0,4.0
544,No,3.5,2.5,3.0,3.0,2.0,2.25
545,No,3.75,1.75,2.0,2.3333333333333335,2.0,3.75
546,No,3.75,2.0,2.0,2.3333333333333335,2.0,3.75
547,N/A,,,,,,
549,N/A,,,,,,
557,I don't know,3.5,4.75,4.5,5.0,5.0,4.25
558,I don't know,3.5,2.25,1.5,2.3333333333333335,1.0,2.75
561,I don't know,5.0,2.0,3.0,4.0,4.0,4.0
564,I don't know,3.75,3.25,3.5,3.6666666666666665,2.0,4.0
565,No,3.75,4.0,4.5,3.0,4.0,4.0
566,No,2.75,2.75,2.5,3.3333333333333335,2.0,3.75
567,No,3.75,3.5,3.5,3.3333333333333335,4.0,3.5
568,I don't know,4.0,2.0,2.0,1.3333333333333333,3.0,4.0
570,No,4.5,4.25,4.0,5.0,3.0,3.75
572,I don't know,3.0,3.75,2.5,3.3333333333333335,3.0,4.75
573,No,3.5,2.0,2.5,2.6666666666666665,2.0,3.5
574,No,3.75,3.25,3.0,2.0,3.0,4.0
575,N/A,,,,,,
576,I don't know,4.0,3.0,2.5,3.6666666666666665,5.0,3.75
577,No,3.5,4.75,3.5,3.0,3.0,4.25
578,No,3.0,4.25,4.0,4.0,2.0,4.25
583,No,4.0,4.0,3.5,3.0,3.0,3.25
585,N/A,,,,,,
586,N/A,,,,,,
587,I don't know,4.25,3.75,2.5,3.3333333333333335,4.0,4.0
588,No,4.75,3.0,2.5,3.3333333333333335,4.0,4.25
589,No,3.0,3.0,2.5,4.0,3.0,3.25
590,I don't know,4.0,4.0,4.0,4.0,4.0,3.25
591,Yes,1.0,4.0,4.0,4.0,4.0,1.0
594,N/A,1.0,1.0,1.0,1.0,1.0,1.0
595,Yes,3.0,3.5,1.0,1.6666666666666667,3.0,3.0
597,Yes,3.0,3.0,2.5,3.6666666666666665,2.0,3.25
600,I don't know,3.6666666666666665,2.25,2.0,2.0,3.0,3.0
601,I don't know,4.0,4.5,4.5,5.0,4.0,2.25
602,Yes,2.5,3.0,3.5,3.0,4.0,2.5
603,I don't know,1.5,2.5,3.0,2.6666666666666665,2.0,2.75
604,Yes,4.0,4.0,4.0,4.0,3.0,3.75
605,I don't know,2.0,3.0,3.0,2.3333333333333335,3.0,2.75
606,Yes,5.0,4.25,4.0,2.6666666666666665,2.0,4.0
607,N/A,4.25,5.0,3.5,3.6666666666666665,,
609,Yes,3.75,3.25,4.0,3.0,3.0,3.0
611,No,3.5,3.0,3.5,3.3333333333333335,4.0,2.3333333333333335
613,N/A,,,,,,
614,N/A,,,,,,
615,No,1.75,1.75,2.5,4.333333333333333,1.0,1.25
619,Yes,3.6666666666666665,4.0,4.0,4.666666666666667,4.0,3.75
624,No,3.5,4.75,4.5,1.6666666666666667,2.0,3.25
625,No,2.5,1.75,2.0,1.0,1.0,3.3333333333333335
629,I don't know,2.75,2.25,3.5,2.3333333333333335,2.0,2.25
633,No,1.5,2.5,2.5,1.0,1.0,3.75
634,No,4.0,4.75,4.5,5.0,5.0,3.75
636,I don't know,4.0,4.0,,4.333333333333333,4.0,4.5
637,I don't know,3.75,2.75,3.5,2.3333333333333335,3.0,3.75
638,I don't know,3.0,4.5,3.5,1.3333333333333333,1.0,3.75
639,I don't know,3.5,4.0,4.0,3.0,3.0,3.5
640,I don't know,4.75,2.5,4.0,1.3333333333333333,2.0,3.25
641,I don't know,3.0,3.75,5.0,4.333333333333333,4.0,2.75
642,I don't know,4.0,3.75,3.5,3.0,2.0,4.5
643,I don't know,1.0,1.0,2.5,1.0,3.0,2.5
644,I don't know,4.0,3.75,4.5,2.6666666666666665,3.0,2.75
645,I don't know,2.5,2.75,3.0,2.0,3.0,3.5
646,I don't know,3.0,4.75,4.5,1.0,5.0,1.0
647,I don't know,3.5,1.75,2.0,1.0,3.0,2.5
649,I don't know,1.75,3.0,1.0,2.3333333333333335,2.0,1.75
650,I don't know,3.25,2.25,2.0,2.0,2.0,3.25
652,No,3.0,3.75,3.5,3.6666666666666665,2.0,3.0
655,N/A,,,,,,
658,I don't know,4.25,3.0,4.0,4.0,1.0,3.75
662,I don't know,4.0,4.5,5.0,3.6666666666666665,5.0,4.0
663,No,4.0,3.5,3.5,5.0,4.0,3.5
665,I don't know,3.25,2.25,3.0,2.0,3.0,3.0
667,N/A,,,,,,
668,N/A,,,,,,
669,I don't know,4.0,3.75,4.0,4.0,3.0,3.0
671,I don't know,3.5,3.0,4.5,3.3333333333333335,4.0,3.5
672,Yes,3.0,2.75,2.5,1.6666666666666667,3.0,3.5
673,I don't know,2.0,3.25,2.0,2.3333333333333335,2.0,2.5
674,No,3.0,2.0,3.0,2.3333333333333335,3.0,3.0
675,Yes,3.75,3.0,4.0,1.3333333333333333,5.0,3.0
676,I don't know,2.5,2.75,2.5,2.0,2.0,3.25
677,I don't know,3.75,1.0,1.0,1.0,1.0,3.75
678,I don't know,4.5,3.75,4.5,5.0,4.0,4.0
679,Yes,2.25,3.5,3.0,3.6666666666666665,2.0,3.5
681,I don't know,3.5,2.25,2.5,2.3333333333333335,4.0,3.25
682,N/A,,,,,,
683,I don't know,3.25,1.75,2.5,2.3333333333333335,2.0,2.75
684,I don't know,3.5,4.0,3.5,2.0,3.0,3.25
685,I don't know,3.75,2.5,3.0,1.6666666666666667,3.0,3.25
687,I don't know,5.0,4.75,3.5,3.6666666666666665,3.0,4.0
688,I don't know,3.25,3.75,4.5,3.0,2.0,3.25
689,No,5.0,2.5,4.5,1.3333333333333333,5.0,3.5
690,I don't know,4.0,2.25,3.0,1.3333333333333333,2.0,3.5
691,Yes,5.0,4.0,4.0,4.0,3.0,3.25
692,N/A,,,,,,
693,N/A,,,,,,
694,I don't know,3.25,3.5,2.5,3.6666666666666665,2.0,3.5
695,Yes,3.5,4.5,4.0,3.3333333333333335,4.0,3.25
696,I don't know,2.75,4.0,4.5,3.0,2.0,2.75
697,I don't know,2.5,4.25,3.0,4.0,3.0,3.25
698,N/A,,,,,,
699,Yes,4.0,3.25,3.5,2.6666666666666665,4.0,3.5
700,I don't know,4.0,3.75,3.5,2.3333333333333335,3.0,3.5
704,I don't know,3.5,4.0,5.0,1.6666666666666667,2.0,5.0
705,I don't know,4.75,3.25,4.0,2.6666666666666665,4.0,4.25
707,Yes,5.0,4.75,4.0,2.0,5.0,4.0
708,I don't know,4.5,4.5,5.0,2.6666666666666665,5.0,4.0
710,N/A,,,,,,
711,No,2.25,2.0,,1.6666666666666667,4.0,2.75
712,I don't know,3.5,2.0,2.5,2.6666666666666665,3.0,3.0
713,I don't know,1.5,3.5,4.0,1.0,2.0,3.25
714,I don't know,3.75,3.25,3.0,2.0,4.0,3.75
715,I don't know,4.5,4.5,5.0,2.6666666666666665,4.0,3.0
719,I don't know,2.5,2.5,2.5,2.0,2.0,3.5
720,I don't know,3.5,3.75,3.5,3.6666666666666665,3.0,3.5
721,Yes,4.0,1.75,2.5,1.6666666666666667,3.0,3.0
722,I don't know,2.5,2.5,2.5,2.0,2.0,2.75
723,I don't know,2.25,4.75,4.0,1.0,4.0,3.25
724,I don't know,4.0,3.0,4.5,2.0,3.0,3.5
725,No,4.5,3.75,5.0,2.0,2.0,4.75
726,I don't know,2.25,4.25,4.5,1.6666666666666667,3.0,3.75
727,N/A,,,,,,
728,I don't know,3.5,3.0,3.0,3.3333333333333335,2.0,3.0
729,No,3.5,3.5,4.0,3.0,3.0,3.75
730,No,3.5,1.5,3.0,4.0,4.0,3.0
731,I don't know,2.5,3.0,3.0,1.6666666666666667,2.0,2.75
732,I don't know,5.0,4.5,5.0,3.3333333333333335,5.0,4.25
733,I don't know,2.0,3.75,4.0,4.0,4.0,2.0
735,I don't know,3.5,3.0,3.0,1.3333333333333333,3.0,2.5
737,Yes,4.25,4.25,4.0,3.0,4.0,3.5
738,I don't know,3.25,3.5,2.5,2.0,1.0,2.5
739,I don't know,2.25,2.5,3.5,1.6666666666666667,1.0,3.75
740,N/A,,,,,,
743,I don't know,2.5,1.75,3.0,1.0,3.0,3.0
744,I don't know,3.25,3.0,3.5,4.333333333333333,2.0,2.25
745,N/A,2.25,3.0,2.5,2.0,4.0,3.25
747,I don't know,4.0,4.0,4.0,2.6666666666666665,2.0,3.5
748,Yes,1.0,1.0,1.0,1.0,1.0,1.0
749,No,4.0,2.75,4.5,1.3333333333333333,4.0,2.25
750,No,1.0,1.0,2.0,1.0,1.0,4.5
751,I don't know,3.5,3.75,2.5,3.6666666666666665,5.0,2.5
752,No,3.0,2.75,2.5,2.0,2.0,1.75
753,Yes,3.25,3.75,4.5,1.6666666666666667,2.0,2.0
754,Yes,4.25,4.5,3.5,2.0,2.0,4.25
755,N/A,,,,,,
756,I don't know,2.75,3.75,4.0,1.0,4.0,3.5
758,I don't know,2.5,3.0,3.0,3.0,3.0,3.0
760,No,3.5,2.75,3.0,1.6666666666666667,3.0,4.5
761,Yes,4.0,3.75,3.5,2.3333333333333335,3.0,4.25
762,No,3.25,2.0,2.5,2.3333333333333335,2.0,2.0
763,I don't know,3.75,4.5,4.0,3.0,2.0,3.75
764,No,2.0,3.75,3.5,1.6666666666666667,4.0,3.0
765,Yes,3.5,2.5,3.0,2.3333333333333335,3.0,2.25
766,N/A,,,,,,
768,I don't know,3.0,4.0,4.0,2.0,2.0,3.75
769,I don't know,2.5,2.25,3.5,1.3333333333333333,2.0,2.5
770,N/A,,,,,,
771,Yes,1.25,3.0,2.5,2.3333333333333335,1.0,2.5
772,I don't know,3.75,4.5,1.5,3.0,2.0,3.75
773,N/A,,,,,,
774,N/A,,,,,,
775,I don't know,3.75,2.75,3.5,1.0,3.0,4.25
776,No,3.0,3.25,4.0,1.0,3.0,3.75
777,I don't know,5.0,2.75,3.0,2.0,2.0,2.75
778,N/A,,,,,,
779,I don't know,3.25,3.5,3.5,1.6666666666666667,3.0,4.0
780,Yes,3.0,2.0,2.0,2.0,3.0,2.0
781,I don't know,1.25,1.5,1.5,1.0,1.0,2.25
782,I don't know,4.0,4.25,3.0,4.666666666666667,4.0,3.25
783,Yes,4.5,3.5,3.5,2.0,3.0,4.25
784,N/A,,,,,,
785,I don't know,2.5,3.25,3.5,3.0,4.0,2.75
786,N/A,,,,,,
787,I don't know,3.75,2.25,2.5,3.0,2.0,4.0
789,I don't know,2.0,3.25,3.0,2.0,2.0,2.0
790,I don't know,4.0,4.0,3.0,4.0,4.0,3.25
791,I don't know,3.5,2.25,3.5,2.0,3.0,2.75
792,I don't know,2.5,2.75,3.0,1.6666666666666667,3.0,3.0
793,I don't know,1.75,2.5,3.0,1.6666666666666667,2.0,2.25
794,I don't know,3.75,5.0,2.5,1.6666666666666667,1.0,4.25
796,I don't know,3.25,2.5,3.5,2.0,2.0,2.5
797,No,5.0,4.0,4.0,2.6666666666666665,3.0,4.5
799,No,3.0,3.5,4.0,2.3333333333333335,4.0,3.5
801,I don't know,3.25,3.75,3.5,2.3333333333333335,2.0,3.75
803,I don't know,4.0,3.75,4.0,2.0,3.0,3.25
