Respondent_ID,Used_ChatGPT,ChatGPT_Version,General_Usage_Frequency,Experience_with_ChatGPT,First_Exposure_ChatGPT,Academic_Usage_Index,Professional_Usage_Index,Creative_Usage_Index,Personal_Usage_Index
94,Yes,ChatGPT-3.5,Rarely,Good,Class/Work,2.0,1.0,1.3333333333333333,2.0
95,Yes,ChatGPT-3.5,Rarely,Neutral,Class/Work,3.75,4.0,4.666666666666667,4.0
96,Yes,ChatGPT-3.5,Considerably,Good,Social media,2.5,1.5,2.3333333333333335,3.3333333333333335
97,Yes,ChatGPT-3.5,Occasionally,Good,Class/Work,2.25,1.5,2.3333333333333335,3.3333333333333335
99,Yes,ChatGPT-3.5,Rarely,Neutral,Friends/Family,2.75,1.0,2.0,2.6666666666666665
100,Yes,Both,Occasionally,Good,Friends/Family,3.5,3.0,3.3333333333333335,2.6666666666666665
101,Yes,ChatGPT-3.5,Moderately,Good,Friends/Family,1.5,1.0,2.0,2.3333333333333335
103,Yes,ChatGPT-3.5,Moderately,Neutral,Mainstream media,2.5,2.5,3.0,4.0
104,Yes,ChatGPT-3.5,Moderately,Good,Class/Work,3.0,2.5,2.6666666666666665,3.0
105,Yes,ChatGPT-3.5,Occasionally,Neutral,Social media,2.25,2.5,2.3333333333333335,3.0
106,Yes,ChatGPT-3.5,Moderately,Good,Class/Work,2.0,2.0,2.6666666666666665,2.6666666666666665
107,Yes,ChatGPT-3.5,Occasionally,Neutral,Social media,2.75,3.0,3.6666666666666665,3.5
108,Yes,ChatGPT-3.5,Rarely,Neutral,Class/Work,2.5,2.0,2.0,2.3333333333333335
111,Yes,Both,Moderately,Good,Friends/Family,3.5,3.5,3.0,4.0
116,Yes,ChatGPT-3.5,Moderately,Very good,Class/Work,4.5,3.5,4.333333333333333,3.3333333333333335
117,Yes,ChatGPT-3.5,Occasionally,Very good,Friends/Family,2.0,1.5,2.3333333333333335,1.0
120,Yes,ChatGPT-3.5,Considerably,Very good,Social media,4.0,2.5,2.0,1.6666666666666667
125,Yes,N/A,N/A,N/A,N/A,,,,
128,Yes,ChatGPT-3.5,Moderately,Good,Friends/Family,3.0,2.0,3.0,1.6666666666666667
129,Yes,ChatGPT-3.5,Extensively,Very good,Social media,4.5,4.0,2.6666666666666665,2.6666666666666665
130,Yes,ChatGPT-3.5,Rarely,Good,Friends/Family,3.0,3.5,2.6666666666666665,3.0
136,Yes,ChatGPT-3.5,Occasionally,Good,Social media,2.5,1.5,3.3333333333333335,2.6666666666666665
139,Yes,ChatGPT-3.5,Rarely,Good,Mainstream media,2.0,3.0,1.3333333333333333,2.6666666666666665
142,Yes,ChatGPT-3.5,Moderately,Very good,Social media,1.75,1.0,1.3333333333333333,2.0
143,Yes,ChatGPT-3.5,Rarely,Neutral,Social media,1.0,1.0,1.3333333333333333,1.0
144,Yes,ChatGPT-3.5,Considerably,Very good,Social media,2.5,2.5,2.3333333333333335,2.0
148,Yes,ChatGPT-3.5,Rarely,Good,Social media,1.0,1.0,1.3333333333333333,1.0
151,Yes,ChatGPT-3.5,Moderately,Neutral,Friends/Family,3.75,3.5,3.6666666666666665,4.0
152,Yes,ChatGPT-3.5,Rarely,Very good,Social media,1.75,1.0,1.0,1.6666666666666667
153,Yes,ChatGPT-3.5,Occasionally,Very good,Social media,1.5,1.5,2.0,2.3333333333333335
159,Yes,ChatGPT-3.5,Moderately,Good,Social media,2.5,1.0,3.0,3.0
163,Yes,ChatGPT-3.5,Occasionally,Good,Social media,2.25,1.0,2.0,1.6666666666666667
167,Yes,Both,Considerably,Good,Social media,2.25,3.5,3.0,3.3333333333333335
168,Yes,ChatGPT-4,Moderately,Neutral,Friends/Family,3.75,3.5,3.3333333333333335,4.0
169,Yes,Both,Considerably,Good,Social media,2.5,2.5,3.3333333333333335,3.0
170,Yes,ChatGPT-3.5,Moderately,Good,Social media,3.3333333333333335,2.5,3.0,2.3333333333333335
177,Yes,ChatGPT-3.5,Rarely,Bad,Friends/Family,1.0,1.0,1.3333333333333333,1.3333333333333333
181,Yes,ChatGPT-3.5,Occasionally,Good,Class/Work,2.25,1.5,2.6666666666666665,1.3333333333333333
182,Yes,ChatGPT-3.5,Occasionally,Good,Friends/Family,2.0,1.0,2.3333333333333335,1.0
184,Yes,Both,Rarely,Good,Social media,2.0,1.0,2.3333333333333335,2.6666666666666665
187,Yes,ChatGPT-3.5,Moderately,Neutral,Friends/Family,2.0,1.5,1.6666666666666667,1.6666666666666667
188,Yes,ChatGPT-3.5,Moderately,Neutral,Friends/Family,3.5,3.5,4.0,3.3333333333333335
190,Yes,ChatGPT-3.5,Moderately,Neutral,Social media,1.75,1.0,2.0,1.3333333333333333
191,Yes,ChatGPT-3.5,Rarely,Very good,Class/Work,2.0,1.0,1.3333333333333333,2.3333333333333335
192,Yes,ChatGPT-3.5,Rarely,Good,Friends/Family,2.0,2.0,2.0,2.0
193,Yes,Both,Rarely,Good,Social media,2.0,3.0,1.3333333333333333,1.3333333333333333
195,Yes,ChatGPT-3.5,Considerably,Very good,Class/Work,3.75,3.0,3.6666666666666665,3.6666666666666665
196,Yes,ChatGPT-3.5,Considerably,Very good,Class/Work,4.0,4.0,4.0,4.0
199,Yes,Both,Moderately,Neutral,Friends/Family,1.25,2.0,1.6666666666666667,2.0
200,Yes,ChatGPT-3.5,Moderately,Good,Mainstream media,3.0,1.0,2.3333333333333335,2.6666666666666665
201,Yes,ChatGPT-3.5,Rarely,Good,Social media,2.25,3.0,3.3333333333333335,3.0
202,Yes,ChatGPT-3.5,Rarely,Good,Social media,1.0,1.0,2.3333333333333335,1.3333333333333333
203,Yes,N/A,N/A,N/A,N/A,,,,
205,Yes,ChatGPT-3.5,Moderately,Good,Social media,3.5,2.5,2.6666666666666665,1.6666666666666667
206,Yes,ChatGPT-3.5,Occasionally,Good,Friends/Family,1.5,2.0,2.6666666666666665,1.6666666666666667
214,Yes,ChatGPT-3.5,Rarely,Good,Social media,2.5,2.0,2.0,2.3333333333333335
217,Yes,ChatGPT-3.5,Moderately,Neutral,Class/Work,1.5,2.5,2.3333333333333335,2.3333333333333335
219,Yes,ChatGPT-3.5,Rarely,Good,Social media,2.5,1.0,1.6666666666666667,2.0
221,Yes,ChatGPT-3.5,Moderately,Good,Social media,2.0,2.0,3.3333333333333335,1.0
226,Yes,ChatGPT-3.5,Rarely,Good,Mainstream media,3.25,2.5,1.3333333333333333,3.0
230,Yes,ChatGPT-3.5,Considerably,Very good,Class/Work,3.0,2.0,3.3333333333333335,1.0
234,Yes,ChatGPT-3.5,Rarely,Neutral,Social media,1.75,1.0,1.6666666666666667,2.3333333333333335
235,Yes,ChatGPT-3.5,Rarely,Neutral,Social media,2.25,2.5,2.0,2.0
236,Yes,ChatGPT-3.5,Occasionally,Neutral,Friends/Family,2.5,3.5,3.3333333333333335,2.0
238,Yes,ChatGPT-3.5,Rarely,Good,Friends/Family,1.75,1.0,1.3333333333333333,2.6666666666666665
240,Yes,ChatGPT-3.5,Rarely,Good,Social media,1.5,1.5,2.3333333333333335,2.0
241,Yes,ChatGPT-3.5,Rarely,Good,Social media,1.5,1.0,2.3333333333333335,1.6666666666666667
242,Yes,ChatGPT-3.5,Occasionally,Good,Social media,1.5,1.0,2.0,1.0
243,Yes,ChatGPT-3.5,Rarely,Good,Social media,2.25,2.0,2.0,2.6666666666666665
247,Yes,ChatGPT-3.5,Occasionally,Good,Social media,2.25,3.0,2.3333333333333335,2.0
264,Yes,ChatGPT-3.5,Moderately,Good,Social media,2.5,2.5,2.0,2.0
265,Yes,ChatGPT-3.5,Moderately,Good,Social media,2.5,2.0,2.6666666666666665,2.3333333333333335
266,Yes,ChatGPT-3.5,Rarely,Bad,Social media,1.75,1.5,2.3333333333333335,1.3333333333333333
269,Yes,ChatGPT-4,Considerably,Neutral,Social media,3.75,2.0,3.3333333333333335,2.6666666666666665
270,Yes,ChatGPT-3.5,Moderately,Very good,Friends/Family,2.75,2.0,2.0,1.0
271,Yes,ChatGPT-3.5,Occasionally,Very good,Social media,3.0,2.5,2.3333333333333335,3.0
273,Yes,ChatGPT-3.5,Occasionally,Good,Social media,4.0,3.0,3.3333333333333335,4.0
274,Yes,ChatGPT-3.5,Rarely,Good,Friends/Family,1.5,1.0,1.3333333333333333,1.3333333333333333
275,Yes,ChatGPT-3.5,Rarely,Good,Class/Work,2.75,2.0,3.0,3.0
276,Yes,Both,Moderately,Very good,Social media,3.5,3.5,2.6666666666666665,3.0
277,Yes,ChatGPT-3.5,Moderately,Neutral,Class/Work,2.5,3.0,2.6666666666666665,3.3333333333333335
278,Yes,ChatGPT-3.5,Extensively,Very good,Mainstream media,3.75,4.0,3.0,3.6666666666666665
279,Yes,ChatGPT-3.5,Extensively,Good,Class/Work,1.0,1.0,1.3333333333333333,1.0
280,Yes,ChatGPT-3.5,Rarely,Neutral,Mainstream media,2.25,1.5,2.0,2.0
281,Yes,ChatGPT-3.5,Occasionally,Good,Social media,3.0,3.0,3.0,4.0
283,Yes,ChatGPT-3.5,Rarely,Very bad,Class/Work,1.5,1.0,1.0,1.6666666666666667
285,Yes,Both,Occasionally,Neutral,Friends/Family,2.25,2.0,2.0,2.0
286,Yes,ChatGPT-3.5,Rarely,Good,Class/Work,3.5,2.5,3.0,3.3333333333333335
287,Yes,ChatGPT-3.5,Moderately,Neutral,Social media,3.0,3.0,3.0,3.0
289,Yes,ChatGPT-3.5,Extensively,Neutral,Friends/Family,2.5,3.0,3.0,2.3333333333333335
295,Yes,ChatGPT-3.5,Moderately,Good,Friends/Family,3.25,3.5,1.6666666666666667,3.6666666666666665
304,Yes,ChatGPT-3.5,Moderately,Good,Friends/Family,2.75,1.5,3.0,2.6666666666666665
308,Yes,ChatGPT-3.5,Occasionally,Good,Friends/Family,1.25,1.5,1.3333333333333333,1.3333333333333333
309,Yes,ChatGPT-3.5,Occasionally,Good,Friends/Family,1.25,1.5,1.0,1.3333333333333333
310,Yes,ChatGPT-3.5,Rarely,Neutral,Mainstream media,1.0,1.0,1.3333333333333333,2.3333333333333335
315,Yes,ChatGPT-3.5,Occasionally,Very good,Friends/Family,2.25,1.5,2.0,1.6666666666666667
323,Yes,ChatGPT-3.5,Rarely,Neutral,Social media,1.0,1.0,1.0,1.3333333333333333
326,Yes,ChatGPT-3.5,N/A,Very good,Social media,3.0,3.0,3.6666666666666665,3.0
328,Yes,Both,Rarely,Very good,Social media,1.5,1.0,1.0,
329,Yes,Both,Rarely,Good,Social media,2.25,2.5,2.3333333333333335,2.3333333333333335
330,Yes,ChatGPT-3.5,Rarely,Neutral,Class/Work,1.75,1.0,1.6666666666666667,1.0
332,Yes,ChatGPT-3.5,Rarely,Very bad,Friends/Family,1.25,1.0,1.3333333333333333,1.0
333,Yes,ChatGPT-4,Rarely,Neutral,Class/Work,1.5,1.0,1.3333333333333333,1.6666666666666667
336,Yes,ChatGPT-3.5,Occasionally,Good,Social media,1.5,1.0,1.6666666666666667,1.3333333333333333
337,Yes,ChatGPT-3.5,Occasionally,Good,Social media,1.25,1.0,2.3333333333333335,1.0
341,Yes,ChatGPT-3.5,Occasionally,Good,Class/Work,3.25,1.0,1.3333333333333333,1.0
342,Yes,ChatGPT-3.5,Moderately,Very good,Friends/Family,5.0,5.0,5.0,5.0
343,Yes,ChatGPT-3.5,Rarely,Good,Friends/Family,1.75,1.0,2.0,1.0
345,Yes,ChatGPT-3.5,Moderately,Good,Friends/Family,2.0,1.0,1.6666666666666667,1.6666666666666667
346,Yes,ChatGPT-3.5,Rarely,Neutral,Friends/Family,1.25,1.0,1.0,1.3333333333333333
348,Yes,ChatGPT-3.5,Considerably,Good,Friends/Family,2.0,1.0,1.0,1.6666666666666667
349,Yes,ChatGPT-3.5,Occasionally,Neutral,Social media,2.0,1.0,2.6666666666666665,2.6666666666666665
350,Yes,ChatGPT-3.5,Considerably,Good,Social media,3.5,1.0,1.3333333333333333,3.0
351,Yes,ChatGPT-3.5,Occasionally,Good,Class/Work,2.25,1.0,2.3333333333333335,2.0
352,Yes,ChatGPT-3.5,Occasionally,Neutral,Friends/Family,2.5,1.0,2.0,1.6666666666666667
353,Yes,ChatGPT-3.5,Rarely,Neutral,Friends/Family,1.25,1.0,1.0,1.3333333333333333
355,Yes,ChatGPT-3.5,Moderately,Neutral,Class/Work,2.75,1.5,2.6666666666666665,1.6666666666666667
356,Yes,ChatGPT-3.5,Rarely,Good,Friends/Family,1.75,2.5,2.0,4.0
359,Yes,ChatGPT-3.5,Rarely,Neutral,Friends/Family,1.5,1.0,1.3333333333333333,1.3333333333333333
360,Yes,ChatGPT-3.5,Rarely,Neutral,Friends/Family,2.0,1.5,2.0,2.0
361,Yes,ChatGPT-3.5,Occasionally,Good,Social media,3.25,2.5,3.0,3.3333333333333335
365,Yes,ChatGPT-3.5,Moderately,Neutral,Social media,2.0,1.5,2.3333333333333335,2.0
367,Yes,ChatGPT-3.5,Rarely,Neutral,Social media,1.5,1.0,1.3333333333333333,1.3333333333333333
368,Yes,ChatGPT-3.5,Moderately,Very good,Friends/Family,2.75,2.5,2.6666666666666665,3.6666666666666665
372,Yes,ChatGPT-3.5,Rarely,Neutral,Social media,3.5,3.0,2.6666666666666665,3.0
374,Yes,ChatGPT-3.5,Occasionally,Neutral,Social media,2.0,2.0,2.3333333333333335,2.0
375,Yes,Both,Rarely,Bad,Social media,2.5,2.5,3.6666666666666665,2.3333333333333335
377,Yes,ChatGPT-3.5,Occasionally,Neutral,Social media,1.5,1.0,1.0,1.0
379,Yes,ChatGPT-3.5,Moderately,Good,Class/Work,2.75,1.0,1.6666666666666667,1.0
383,Yes,ChatGPT-3.5,Occasionally,Very good,Friends/Family,3.0,3.5,4.0,4.0
385,Yes,ChatGPT-3.5,Moderately,Good,Class/Work,1.5,1.5,2.6666666666666665,1.0
387,Yes,ChatGPT-4,Moderately,Very good,Social media,3.75,3.0,3.6666666666666665,2.3333333333333335
389,Yes,ChatGPT-3.5,Rarely,Very good,Friends/Family,2.25,1.0,1.6666666666666667,1.6666666666666667
390,Yes,ChatGPT-3.5,Rarely,Neutral,Friends/Family,1.0,1.0,1.6666666666666667,1.6666666666666667
391,Yes,ChatGPT-3.5,Occasionally,Bad,Social media,1.25,1.0,1.0,1.6666666666666667
393,Yes,ChatGPT-3.5,Moderately,Good,Class/Work,2.75,1.0,2.3333333333333335,2.6666666666666665
394,Yes,ChatGPT-3.5,Occasionally,Very good,Class/Work,1.5,1.5,1.0,1.3333333333333333
395,Yes,ChatGPT-3.5,Rarely,Good,Social media,1.75,2.0,2.0,1.6666666666666667
396,Yes,ChatGPT-3.5,Rarely,Neutral,Social media,2.25,1.5,1.3333333333333333,1.3333333333333333
397,Yes,ChatGPT-3.5,Moderately,Good,Social media,3.25,3.5,2.3333333333333335,3.0
400,Yes,ChatGPT-3.5,Rarely,Neutral,Friends/Family,1.5,1.0,1.3333333333333333,1.0
403,Yes,ChatGPT-3.5,Rarely,Very bad,Mainstream media,1.5,1.5,1.0,1.3333333333333333
404,Yes,Both,Occasionally,Good,Friends/Family,1.5,1.0,2.3333333333333335,1.3333333333333333
405,Yes,ChatGPT-3.5,Moderately,Very good,Social media,3.5,2.5,3.3333333333333335,3.0
406,Yes,ChatGPT-3.5,Occasionally,Good,Friends/Family,2.5,2.0,2.6666666666666665,3.6666666666666665
410,Yes,ChatGPT-3.5,Rarely,Neutral,Mainstream media,1.0,,1.0,1.3333333333333333
411,Yes,ChatGPT-3.5,Occasionally,Good,Class/Work,4.0,3.5,4.0,3.6666666666666665
412,Yes,ChatGPT-3.5,Occasionally,Bad,Class/Work,1.5,3.0,2.0,1.6666666666666667
413,Yes,ChatGPT-3.5,Occasionally,Neutral,Friends/Family,2.0,3.0,3.0,3.0
415,Yes,ChatGPT-3.5,Moderately,Good,Friends/Family,2.25,1.0,2.0,2.0
416,Yes,ChatGPT-3.5,Moderately,Good,Social media,2.25,1.5,2.3333333333333335,1.3333333333333333
417,Yes,Both,Moderately,Very good,Friends/Family,2.5,3.5,4.0,3.6666666666666665
418,Yes,ChatGPT-3.5,Moderately,Neutral,Social media,2.25,2.5,2.3333333333333335,1.3333333333333333
420,Yes,ChatGPT-3.5,Moderately,Neutral,Friends/Family,2.75,3.0,3.0,3.0
428,Yes,ChatGPT-3.5,Moderately,Good,Social media,2.75,3.0,3.0,3.0
429,Yes,ChatGPT-3.5,Considerably,Neutral,Social media,1.75,2.5,1.0,1.3333333333333333
430,Yes,ChatGPT-3.5,Occasionally,Very good,Class/Work,3.25,4.0,3.3333333333333335,3.3333333333333335
431,Yes,ChatGPT-3.5,Rarely,Neutral,Friends/Family,2.0,1.0,2.3333333333333335,1.0
433,Yes,ChatGPT-3.5,Considerably,Very good,Class/Work,4.0,4.5,4.0,2.6666666666666665
437,Yes,ChatGPT-4,Occasionally,Very bad,Mainstream media,1.25,2.0,1.6666666666666667,1.3333333333333333
440,Yes,ChatGPT-3.5,Moderately,Good,Friends/Family,2.25,1.0,3.0,2.3333333333333335
441,Yes,ChatGPT-3.5,Considerably,Good,Social media,3.0,4.0,3.0,2.6666666666666665
442,Yes,ChatGPT-3.5,Considerably,Neutral,Social media,2.0,2.5,2.0,2.3333333333333335
444,Yes,ChatGPT-3.5,Rarely,Good,Social media,3.25,1.5,3.0,2.0
450,Yes,ChatGPT-3.5,Rarely,Very good,Social media,5.0,5.0,5.0,5.0
456,Yes,ChatGPT-3.5,Rarely,Very bad,Mainstream media,1.0,1.0,1.0,1.0
458,Yes,Both,Moderately,Very bad,Social media,3.25,2.0,1.0,2.3333333333333335
459,Yes,ChatGPT-3.5,Moderately,Good,Mainstream media,3.0,1.5,2.6666666666666665,2.3333333333333335
461,Yes,ChatGPT-3.5,Occasionally,Good,Social media,2.0,1.5,1.0,1.3333333333333333
462,Yes,ChatGPT-3.5,Considerably,Good,Social media,3.25,2.0,2.6666666666666665,2.3333333333333335
463,Yes,ChatGPT-3.5,Moderately,Good,Social media,3.0,1.5,2.3333333333333335,2.3333333333333335
464,Yes,ChatGPT-3.5,Rarely,Neutral,Social media,1.75,2.0,1.6666666666666667,2.0
466,Yes,ChatGPT-3.5,Considerably,Good,Friends/Family,3.5,1.5,2.6666666666666665,1.0
467,Yes,ChatGPT-3.5,Considerably,Very good,Social media,4.5,2.0,3.0,3.0
468,Yes,ChatGPT-3.5,Considerably,Very good,Friends/Family,2.5,1.5,2.0,1.6666666666666667
469,Yes,ChatGPT-3.5,Considerably,Very good,Social media,3.75,2.5,4.0,2.3333333333333335
470,Yes,ChatGPT-3.5,Rarely,Bad,Social media,2.25,1.0,1.3333333333333333,1.6666666666666667
471,Yes,ChatGPT-3.5,Moderately,Good,Social media,2.0,2.0,1.0,2.3333333333333335
474,Yes,ChatGPT-3.5,Moderately,Good,Friends/Family,3.25,1.5,2.0,2.0
475,Yes,ChatGPT-3.5,Moderately,Good,Social media,2.75,2.0,2.6666666666666665,2.0
476,Yes,ChatGPT-3.5,Moderately,Good,Friends/Family,1.75,1.0,1.6666666666666667,1.6666666666666667
477,Yes,ChatGPT-3.5,Occasionally,Neutral,Social media,1.75,1.0,2.3333333333333335,1.6666666666666667
478,Yes,ChatGPT-3.5,Considerably,Neutral,Social media,2.75,1.0,1.3333333333333333,3.0
479,Yes,ChatGPT-3.5,Occasionally,Neutral,Friends/Family,1.5,1.0,1.0,1.6666666666666667
480,Yes,ChatGPT-3.5,Considerably,Good,Mainstream media,1.75,2.5,1.6666666666666667,2.0
481,Yes,ChatGPT-3.5,Occasionally,Neutral,Social media,2.25,1.5,2.0,1.3333333333333333
482,Yes,ChatGPT-3.5,Moderately,Good,Social media,2.5,2.0,2.6666666666666665,2.3333333333333335
483,Yes,ChatGPT-3.5,Considerably,Very good,Friends/Family,4.5,2.5,2.6666666666666665,2.6666666666666665
484,Yes,ChatGPT-3.5,Occasionally,Neutral,Social media,2.25,1.0,3.3333333333333335,2.0
485,Yes,ChatGPT-3.5,Extensively,Very good,Social media,3.25,3.5,2.6666666666666665,3.6666666666666665
486,Yes,ChatGPT-3.5,Moderately,Very good,Social media,1.5,1.0,2.3333333333333335,2.6666666666666665
488,Yes,ChatGPT-3.5,Occasionally,Good,Social media,2.25,2.0,1.3333333333333333,1.6666666666666667
489,Yes,ChatGPT-3.5,Moderately,Good,Social media,3.0,3.0,3.0,3.0
490,Yes,ChatGPT-3.5,Moderately,Good,Class/Work,4.0,3.5,3.0,3.0
491,Yes,ChatGPT-3.5,Considerably,Good,Friends/Family,2.5,2.0,1.3333333333333333,1.6666666666666667
492,Yes,ChatGPT-3.5,Moderately,Good,Social media,3.0,1.5,2.3333333333333335,2.0
495,Yes,ChatGPT-3.5,Occasionally,Good,Friends/Family,3.0,1.0,1.0,1.3333333333333333
496,Yes,ChatGPT-3.5,Moderately,Good,Social media,3.5,3.0,3.0,3.3333333333333335
497,Yes,ChatGPT-3.5,Occasionally,Neutral,Social media,1.25,1.0,1.0,1.0
499,Yes,ChatGPT-3.5,Occasionally,Neutral,Social media,2.0,1.0,1.6666666666666667,2.3333333333333335
500,Yes,ChatGPT-3.5,Occasionally,Neutral,Social media,1.75,1.5,2.0,1.6666666666666667
501,Yes,ChatGPT-3.5,Occasionally,Neutral,Social media,1.75,1.5,2.0,1.6666666666666667
502,Yes,ChatGPT-3.5,Occasionally,Very good,Class/Work,3.25,3.0,2.0,3.0
503,Yes,ChatGPT-3.5,Moderately,Good,Friends/Family,3.5,3.0,3.3333333333333335,2.0
506,Yes,ChatGPT-3.5,Occasionally,Good,Social media,2.75,2.5,1.6666666666666667,2.3333333333333335
509,Yes,ChatGPT-3.5,Occasionally,Good,Class/Work,2.25,2.0,1.3333333333333333,1.0
510,Yes,ChatGPT-3.5,Occasionally,Very good,Social media,3.5,2.5,2.6666666666666665,3.3333333333333335
511,Yes,ChatGPT-3.5,Occasionally,Neutral,Social media,1.75,1.0,2.3333333333333335,2.0
512,Yes,ChatGPT-3.5,Rarely,Good,Friends/Family,1.75,1.5,1.0,1.3333333333333333
513,Yes,ChatGPT-3.5,Occasionally,Good,Social media,3.25,1.0,2.0,3.6666666666666665
514,Yes,ChatGPT-3.5,Rarely,Good,Social media,2.25,1.0,1.3333333333333333,1.3333333333333333
515,Yes,ChatGPT-3.5,Occasionally,Good,Social media,2.5,1.5,2.3333333333333335,1.6666666666666667
516,Yes,ChatGPT-3.5,Moderately,Good,Social media,2.25,1.5,1.0,1.6666666666666667
518,Yes,ChatGPT-3.5,Occasionally,Good,Social media,2.5,1.0,2.3333333333333335,2.0
519,Yes,ChatGPT-3.5,Occasionally,Neutral,N/A,3.0,3.0,3.0,3.0
520,Yes,ChatGPT-3.5,Occasionally,Neutral,Social media,3.25,3.5,2.6666666666666665,3.0
521,Yes,ChatGPT-3.5,Occasionally,Neutral,Class/Work,2.5,1.0,2.6666666666666665,2.0
522,Yes,ChatGPT-3.5,Extensively,Good,Social media,3.0,1.5,2.0,2.6666666666666665
